"Var2","C","C_1","C_2","L_s","L_1_s","L_2_s","K_s","K_1_s","I","I_1","Y","A","Case"
"29",0.00515368586224373,0.00532811743475972,0.00495622701942885,-0.000350435199062091,-0.00078739760776572,0,0.00676113165836408,0.00676113165836408,0.00278136114478074,0.00278136114478074,0.0046057918203704,0.00237826885255333,"Non-Ricardian Agents omega Medium"
"30",0.00494548460802705,0.00511971018039021,0.00474825896010466,-0.000350021342192393,-0.000786467707144996,0,0.00651002145234152,0.00651002145234152,0.00257596155798803,0.00257596155798802,0.0043982376179158,0.00225935540992566,"Non-Ricardian Agents omega Medium"
"31",0.00474268848886872,0.0049158570588076,0.00454665938164443,-0.000347897811173174,-0.000781696316459922,0,0.00626267262562646,0.00626267262562646,0.0023875410070906,0.0023875410070906,0.00419876157047466,0.00214638763942938,"Non-Ricardian Agents omega Medium"
"32",0.00454553346795228,0.00471692369913074,0.00435151746368122,-0.000344325106481406,-0.000773668757769862,0,0.00601978658553414,0.00601978658553414,0.00221457195742113,0.00221457195742113,0.00400719235720311,0.00203906825745791,"Non-Ricardian Agents omega Medium"
"33",0.00435419250903773,0.00452319743648873,0.00416287670007529,-0.000339533001620433,-0.000762901312279867,0,0.00578193970355246,0.00578193970355247,0.00205567188583968,0.00205567188583968,0.00382334369845804,0.00193711484458502,"Non-Ricardian Agents omega Medium"
"34",0.004168783905149,0.00433489729664657,0.00398074135305794,-0.000333723869920093,-0.000749848695373023,0,0.00554959866662764,0.00554959866662764,0.00190958908813872,0.00190958908813872,0.00364701748314092,0.00184025910235576,"Non-Ricardian Agents omega Medium"
"35",0.00398937866702953,0.00415218286746097,0.00380508216291102,-0.000327075663902852,-0.0007349107509887,0,0.00532313414052339,0.00532313414052339,0.00177518989822353,0.00177518989822353,0.00347800649901112,0.00174824614723798,"Non-Ricardian Agents omega Medium"
"36",0.00381600707135642,0.00397516217492134,0.0036358413930637,-0.000319744582904299,-0.000718438445535257,0,0.00510283292273965,0.00510283292273965,0.00165144717746116,0.00165144717746116,0.00331609681016224,0.00166083383987608,"Non-Ricardian Agents omega Medium"
"37",0.00364866445834605,0.0038038986693623,0.00347293728217936,-0.000311867460999262,-0.000700739233353664,0,0.00488890874418655,0.00488890874418655,0.00153742994685469,0.00153742994685469,0.00316106982118284,0.00157779214788227,"Non-Ricardian Agents omega Medium"
"38",0.0034873163590855,0.00363841741650943,0.00331626796734841,-0.000303563904017045,-0.000682081858406061,0,0.00468151186238674,0.00468151186238674,0.00143229404752294,0.00143229404752294,0.00301270406333399,0.00149890254048816,"Non-Ricardian Agents omega Medium"
"39",0.00333190302457829,0.00347871057821235,0.00316571493581124,-0.000294938201493268,-0.000662700650266312,0,0.00448073757423326,0.00448073757423326,0.00133527372649554,0.00133527372649554,0.0028707767343205,0.00142395741346375,"Non-Ricardian Agents omega Medium"
"40",0.00318234342100178,0.00332474225891552,0.00302114605663098,-0.000286081036768025,-0.000642799366562773,0,0.00428663376309121,0.00428663376309121,0.00124567405519914,0.00124567405519913,0.00273506501986538,0.00135275954279056,"Non-Ricardian Agents omega Medium"
"1",0.00764981159377043,0.00328991667768786,0.00909951262503842,0.00257282106223684,0.0229535996467236,0,0.00150401505763438,0.00150401505763438,0.0250669176272396,0.0250669176272396,0.0116723336855429,0.01,"Non-Ricardian Agents omega Low"
"2",0.0079753269774344,0.00417031892135154,0.00924052354961295,0.00224537633523183,0.0200322790463848,0,0.00280431890251036,0.00280431890251036,0.0231757458055674,0.0231757458055674,0.0114858998832401,0.0095,"Non-Ricardian Agents omega Low"
"3",0.00822407107261567,0.00491741981074051,0.00932355989898657,0.00195129061038602,0.0174085730728131,0,0.00392207766239109,0.0039220776623911,0.0214336315671892,0.0214336315671892,0.0112748505078857,0.009025,"Non-Ricardian Agents omega Low"
"4",0.00840505147909225,0.00554551304296373,0.00935587160196135,0.00168744450459228,0.0150546519355744,0,0.00487646092487273,0.00487646092487273,0.0198284653704183,0.0198284653704183,0.0110433161051754,0.00857374999999999,"Non-Ricardian Agents omega Low"
"5",0.0085263837487942,0.00606752580257738,0.00934397430292042,0.00145099862148844,0.012945183765192,0,0.00568482173171142,0.00568482173171142,0.0183491410388508,0.0183491410388508,0.010794972923131,0.00814506249999999,"Non-Ricardian Agents omega Low"
"6",0.00859537372647495,0.00649514278258378,0.0092937178434464,0.0012393689554459,0.0110571151781432,0,0.00636286072354311,0.0063628607235431,0.0169854715955728,0.0169854715955728,0.0105330867977071,0.00773780937499999,"Non-Ricardian Agents omega Low"
"7",0.00861859254880442,0.00683891924549345,0.00921034860549586,0.00105020443079094,0.00936947089148022,0,0.00692477581276495,0.00692477581276495,0.0157281122105738,0.0157281122105738,0.0102605530351871,0.00735091890624999,"Non-Ricardian Agents omega Low"
"8",0.00860194494448393,0.00710838407906968,0.00909856625498057,0.000881366392132294,0.00786317074438138,0,0.00738339864344873,0.00738339864344872,0.0145684896574945,0.0145684896574945,0.00997993264609221,0.00698337296093749,"Non-Ricardian Agents omega Low"
"9",0.0085507314223109,0.00731213371890051,0.00896257537784678,0.00073090987748586,0.00652086262504745,0,0.00775031898847635,0.00775031898847635,0.0134987377272425,0.0134987377272425,0.009693485254385,0.00663420431289062,"Non-Ricardian Agents omega Low"
"10",0.0084697048832446,0.00745791773456051,0.0088061324580149,0.000597066520347761,0.00532676993037363,0,0.00803599813474922,0.00803599813474922,0.0125116380930241,0.0125116380930241,0.0094031989774825,0.00630249409724608,"Non-Ricardian Agents omega Low"
"11",0.00836312214603105,0.00755271680722648,0.00863258860749928,0.000478228940089016,0.00426655230378442,0,0.00824987221652566,0.00824987221652566,0.0116005661643565,0.0116005661643565,0.00911081754677054,0.00598736939238378,"Non-Ricardian Agents omega Low"
"12",0.00823479083345893,0.00760281376364073,0.00844492842335213,0.000372936492132659,0.00332717850446095,0,0.00840044637395211,0.0084004463739521,0.0107594415069664,0.0107594415069664,0.00881786491472473,0.00568800092276459,"Non-Ricardian Agents omega Low"
"13",0.00808811202749534,0.00761385827376512,0.00824580531348012,0.000279862260425768,0.00249681035978773,0,0.00849538053800341,0.00849538053800341,0.00998268244147378,0.00998268244147378,0.00852566757319921,0.00540360087662636,"Non-Ricardian Agents omega Low"
"14",0.00792611906607559,0.00759092576687198,0.0080375736036006,0.000197801184822634,0.0017646968429869,0,0.00854156757372429,0.00854156757372429,0.00926516446668467,0.00926516446668467,0.00823537478776596,0.00513342083279504,"Non-Ricardian Agents omega Low"
"15",0.00775151282190715,0.00753857107275108,0.00782231771039491,0.000125659225232452,0.00112107740031828,0,0.00854520445030688,0.00854520445030688,0.00860218218343406,0.00860218218343406,0.00794797693501581,0.00487674979115529,"Non-Ricardian Agents omega Low"
"16",0.00756669377403158,0.00746087725078495,0.00760187864105899,6.24434728297917e-05,0.0005570937275651,0,0.00851185704863688,0.00851185704863687,0.00798941442247338,0.00798941442247339,0.00766432211331957,0.00463291230159752,"Non-Ricardian Agents omega Low"
"17",0.00737379115582946,0.00736150002950276,0.00737787805674203,7.25312634643704e-06,6.47092644024596e-05,0,0.00844651916402477,0.00844651916402476,0.00742289230510164,0.00742289230510164,0.00738513118255848,0.00440126668651765,"Non-Ricardian Agents omega Low"
"18",0.00717468943843163,0.00724370824254148,0.0071517401166198,-4.07287414789653e-05,-0.000363364261787118,0,0.00835366621348111,0.00835366621348111,0.00689896998829716,0.00689896998829716,0.00711101137464718,0.00418120335219176,"Non-Ricardian Agents omega Low"
"19",0.00697105238591498,0.00711042061342389,0.00692471130039927,-8.22426957647838e-05,-0.000733733853522728,0,0.0082373041127043,0.00823730411270429,0.00641429786720088,0.00641429786720088,0.00684246860417452,0.00397214318458217,"Non-Ricardian Agents omega Low"
"20",0.00676434489802861,0.00696423921093521,0.00669787838974274,-0.000117959792236855,-0.00105238638050842,0,0.00810101374756801,0.008101013747568,0.00596579802709939,0.00596579802709939,0.00657991859707715,0.00377353602535306,"Non-Ricardian Agents omega Low"
"21",0.00655585283734842,0.00680747986889537,0.00647218477328961,-0.000148487828046514,-0.00132474434673521,0,0.00794799142799652,0.00794799142799652,0.00555064175470985,0.00555064175470985,0.00632369694484331,0.00358485922408541,"Non-Ricardian Agents omega Low"
"22",0.00634670102054159,0.00664219983855443,0.00624844522551509,-0.000174377042908291,-0.00155571675357224,0,0.00778108567839994,0.00778108567839994,0.00516622893472015,0.00516622893472015,0.0060740681822339,0.00340561626288114,"Non-Ricardian Agents omega Low"
"23",0.00613786953769639,0.00647022291847755,0.00602735929647783,-0.000196125318303632,-0.00174974548481948,0,0.00760283068803475,0.00760283068803474,0.00481016917231329,0.00481016917231329,0.00583123397782624,0.00323533544973708,"Non-Ricardian Agents omega Low"
"24",0.00593020854930942,0.00629316228544305,0.00580952343746542,-0.000214182918378393,-0.00191084760295009,0,0.00741547671650805,0.00741547671650805,0.00448026449592317,0.00448026449592318,0.00559534051876222,0.00307356867725023,"Non-Ricardian Agents omega Low"
"25",0.0057244516974035,0.00611244123037838,0.0055954419765499,-0.000228956812397087,-0.00204265391218255,0,0.00722101772392779,0.00722101772392778,0.00417449350683687,0.00417449350683687,0.00536648516384951,0.00291989024338772,"Non-Ricardian Agents omega Low"
"26",0.00552122825526894,0.00592931198554695,0.00538553704802323,-0.00024081461517562,-0.00214844411332167,0,0.00702121647170651,0.00702121647170651,0.00389099685357323,0.00389099685357323,0.00514472243256428,0.00277389573121833,"Non-Ricardian Agents omega Low"
"27",0.00532107412937958,0.00574487281292715,0.00518015757051422,-0.000250088178768788,-0.00223117884724511,0,0.00681762731856336,0.00681762731856336,0.00362806391932058,0.00362806391932058,0.00493006939148068,0.00263520094465741,"Non-Ricardian Agents omega Low"
"28",0.005124441817044,0.00556008350886183,0.00497958736021707,-0.000257076865813829,-0.00229352889826243,0,0.00661161691666083,0.00661161691666082,0.00338412062018773,0.00338412062018773,0.00472251049415576,0.00250344089742454,"Non-Ricardian Agents omega Low"
"29",0.00493170941422953,0.00537577946648064,0.00478405245801965,-0.000262050532303513,-0.00233790180512992,0,0.00640438299490251,0.0064043829949025,0.00315771822068884,0.00315771822068885,0.00452200192548471,0.00237826885255331,"Non-Ricardian Agents omega Low"
"30",0.00474318875966654,0.00519268442499787,0.00459372774234302,-0.000265252245160545,-0.00236646610607707,0,0.00619697140005707,0.00619697140005707,0.00294752308081192,0.00294752308081192,0.00432847549696599,0.00225935540992565,"Non-Ricardian Agents omega Low"
"31",0.00455913279373609,0.00501142202366378,0.00440874289313575,-0.00026690075778995,-0.00238117342461707,0,0.00599029155143018,0.00599029155143018,0.00275230725627549,0.00275230725627549,0.00414184213514321,0.00214638763942936,"Non-Ricardian Agents omega Low"
"32",0.00437974220370075,0.00483252626780486,0.00422918776665409,-0.000267192764779951,-0.0023837785850154,0,0.00578513045115738,0.00578513045115737,0.00257093988021676,0.00257093988021676,0.0039619950016845,0.0020390682574579,"Non-Ricardian Agents omega Low"
"33",0.0042051714205009,0.00465645100494363,0.00405511723535447,-0.00026630495508839,-0.00237585792993337,0,0.00558216537972562,0.00558216537972562,0.00240237926062809,0.0024023792606281,0.00378881228008851,0.001937114844585,"Non-Ricardian Agents omega Low"
"34",0.00403553402655351,0.00448357850036443,0.00388655554238371,-0.000264395881376156,-0.00235882599781453,0,0.00538197539494711,0.00538197539494711,0.00224566563341705,0.00224566563341705,0.00362215966084121,0.00184025910235575,"Non-Ricardian Agents omega Low"
"35",0.00387090762871052,0.00431422719361606,0.003723500215735,-0.000261607661617865,-0.0023339507039212,0,0.00518505174221333,0.00518505174221332,0.00209991451605068,0.00209991451605068,0.00346189255396127,0.00174824614723796,"Non-Ricardian Agents omega Low"
"36",0.00371133824571456,0.00414865871025254,0.00356592558310733,-0.000258067527720737,-0.00230236715644392,0,0.00499180727436446,0.00499180727436445,0.00196431061139879,0.0019643106113988,0.00330785805524048,0.00166083383987606,"Non-Ricardian Agents omega Low"
"37",0.00355684425509262,0.00398708419654833,0.00341378592482868,-0.000253889234603923,-0.00226509022769946,0,0.00480258497084155,0.00480258497084155,0.00183810221564937,0.00183810221564937,0.00315989669008776,0.00157779214788226,"Non-Ricardian Agents omega Low"
